tf,k,mode,stop,rr,direction,n_trades,win_rate,expectancy_R,profit_factor,avg_monthly,max_dd,sharpe,mar,pct_long
1h,3,rev,struct,3.0,short,275,0.24727272727272728,-0.08110195011569742,0.8913146770313556,-0.003366778580742358,-0.44829394774825604,-0.3392145638228269,-0.007510203065763908,0.0
1h,3,rev,atr,2.0,both,693,0.32756132756132755,-0.09645945464912231,0.8365478604077641,-0.009961658577578816,-0.5396422640437313,-0.7794030289537147,-0.018459744985377106,0.4862914862914863
1h,3,rev,atr,2.0,short,419,0.3341288782816229,-0.0727220685317124,0.882275246545695,-0.004555646652291967,-0.4236494431104242,-0.4474683557659899,-0.010753340353393403,0.0
1h,3,rev,atr,3.0,both,570,0.25263157894736843,-0.07535401875812855,0.8719636542788327,-0.005929233880825816,-0.5632020071944474,-0.44194507233737157,-0.01052772150149445,0.4824561403508772
1h,3,rev,atr,3.0,short,376,0.26861702127659576,-0.00764498558730537,0.9687366422683759,-0.00024650324937458903,-0.45310283204692614,-0.036429015058963135,-0.0005440337864607733,0.0
1h,3,both,struct,2.0,both,466,0.38412017167381973,0.09553408368522276,1.1140617403762707,0.006714803906799601,-0.18954744570535742,0.6087692787982103,0.035425451827177074,0.5171673819742489
1h,3,both,struct,2.0,short,453,0.31125827814569534,-0.130797951261562,0.8126222610678729,-0.0088787386101398,-0.5447464393950993,-0.8674871392179299,-0.016298846523896484,0.0
1h,3,both,struct,3.0,both,263,0.29277566539923955,0.0897716466485162,1.0951955352138631,0.004193234999692166,-0.23368140186953523,0.35830373922979514,0.017944239319623977,0.5361216730038023
1h,3,both,struct,3.0,short,326,0.2147239263803681,-0.22298276658037422,0.7284811176693169,-0.010650708226185773,-0.5685197707737764,-1.1022661240757026,-0.018734103497737232,0.0
1h,3,both,atr,2.0,both,1420,0.3598591549295775,0.004365793700704336,0.9940909848748583,2.3941468048601158e-05,-0.5658149646472795,0.054229234916373374,4.231324645774596e-05,0.5197183098591549
1h,3,both,atr,2.0,short,926,0.3488120950323974,-0.026219419093132336,0.9483893003261649,-0.003796629378263394,-0.5605598147747183,-0.23640629087823825,-0.006772924633902289,0.0
1h,3,both,atr,3.0,both,1040,0.28942307692307695,0.07406426461535941,1.0504700587718598,0.011757248214858417,-0.4033607261948371,0.5677635628599487,0.029148222549508357,0.5201923076923077
1h,3,both,atr,3.0,short,695,0.260431654676259,-0.04138571945534818,0.9289132979041868,-0.004497448894177089,-0.5936344657635139,-0.2782674477128201,-0.007576124961667468,0.0
